   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           1           1           1           1   (3.18059095869472432E-016,2.35975612179175808E-017)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           1           1           2           1   (2.07120932665815659E-016,3.75188511620512792E-017)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           1           1           3           1  (1.07853230571842623E-016,-7.20858664328371510E-018)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           1           2           1           1 (-2.70629178256992975E-004,-1.85230871603413822E-018)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           1           2           2           1 (-2.07063335019947716E-003,-1.44195623140870155E-017)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           1           2           3           1 (-2.04867597443553510E-003,-3.71486751266413154E-017)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           2           1           1           1  (1.81405888015324988E-016,-5.69501717284200492E-014)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           2           1           2           1  (1.91091972697890274E-017,-4.14217132399215203E-014)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           2           1           3           1   (2.64734401712335363E-016,6.09933743852541139E-015)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           2           2           1           1   (1.26767787208721672E-005,3.35995952616211059E-010)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           2           2           2           1 (-1.33905867031543398E-003,-4.51131652780031390E-010)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           2           2           3           1   (1.35173547997420205E-003,7.87188402397462190E-010)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           3           1           1           1 (-1.18226861720069689E-016,-1.23782938166349163E-010)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           3           1           2           1 (-1.56735615912027543E-016,-3.36572551017978602E-010)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           3           1           3           1   (2.13477300021009573E-016,4.59774786163503224E-010)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           3           2           1           1 (-1.03955104075472392E-005,-1.10305340672357290E-005)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           3           2           2           1 (-2.21182476509853079E-003,-2.34681526404686286E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           3           2           3           1   (2.20142947383906171E-003,2.33578495964374558E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           4           1           1           1  (-1.11005810159624075E-016,1.51417229945207386E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           4           1           2           1 (-4.53805947458265030E-017,-3.02874783184334381E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           4           1           3           1   (1.34867709974810578E-017,1.51469187235160206E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           4           2           1           1  (-7.64429643216560806E-006,3.25858656439947589E-005)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           4           2           2           1  (-7.29773208049384436E-004,3.11072380539059680E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           4           2           3           1  (7.32546057968398463E-004,-3.12254037128929665E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           5           1           1           1  (-1.77980634310782254E-016,4.05647109899249505E-004)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           5           1           2           1  (-1.19108281442798582E-016,3.02897511151680159E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           5           1           3           1   (1.47947776687029415E-017,5.65200881063863698E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           5           2           1           1  (1.10927293287960702E-003,-4.72838087275246656E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           5           2           2           1  (1.53514895151693649E-004,-6.54373437675425827E-004)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           5           2           3           1  (1.60741111677455638E-004,-6.85178544373762259E-004)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           6           1           1           1  (4.18856951163515920E-016,-1.49566744552514664E-002)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           6           1           2           1  (2.91811360511872173E-016,-5.47387804574610282E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           6           1           3           1  (-1.45022863214675208E-016,4.00730120866844668E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           6           2           1           1 (-1.14113830066165864E-004,-3.12787627990776269E-005)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           6           2           2           1 (-4.34483855857124845E-003,-1.19103017639472439E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           6           2           3           1   (4.39710887310749109E-003,1.20535992928483856E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           7           1           1           1   (1.96467971408177229E-017,5.47410544755214720E-003)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           7           1           2           1  (8.19282618094694350E-018,-1.09492304953135722E-002)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           7           1           3           1   (3.05009018791349998E-017,5.47515048838711441E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           7           2           1           1 (-7.85072901670635058E-003,-2.15210421945308652E-003)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           7           2           2           1   (3.30721787816483457E-004,9.06630333486855167E-005)
  0.25000000000000000        0.0000000000000000        0.0000000000000000                1           7           2           3           1   (2.29135118777873924E-004,6.28135064490475178E-005)
   0.0000000000000000        0.0000000000000000        0.0000000000000000                1           8           1           1           1  (-1.98373314450311591E-016,2.00360317102184476E-003)
